name,place,sum_views,pref,geometry,address
工藤静香,羽村市,862175.0,東京都,POINT (139.307862 35.764833),"羽村市, 東京都, 日本"
江頭2:50,神埼市,860826.0,佐賀県,POINT (130.3730748 33.3107434),"神埼市, 佐賀県, 日本"
坂東龍汰,洞爺湖町,858314.0,北海道,POINT (140.7642723 42.5513253),"洞爺湖町, 虻田郡, 胆振総合振興局, 北海道, 日本"
村重杏奈,和木町,855308.0,山口県,POINT (132.2205023 34.2024049),"和木町, 玖珂郡, 山口県, 日本"
玉木宏,西ノ島町,852529.0,島根県,POINT (132.9943746 36.0931392),"西ノ島町, 隠岐郡, 島根県, 日本"
MISIA,対馬市,850483.0,長崎県,POINT (129.2946547 34.2053717),"対馬市, 長崎県, 日本"
千葉真一,君津市,849813.0,千葉県,POINT (139.902551 35.3302375),"君津市, 千葉県, 日本"
中川翔子,中野区,848977.0,東京都,POINT (139.664468 35.718123),"中野区, 東京都, 日本"
中川翔子,高畠町,848977.0,山形県,POINT (140.1890956 38.0026592),"高畠町, 東置賜郡, 山形県, 日本"
鈴木亮平 (俳優),福井市,848699.0,福井県,POINT (136.2260542 36.061751),"福井市, 福井県, 日本"
森本慎太郎,金沢市,847158.0,石川県,POINT (136.6568822 36.561627),"金沢市, 石川県, 日本"
髙木美帆,幕別町,846723.0,北海道,POINT (143.3561446 42.9084894),"幕別町, 中川郡(十勝国), 十勝総合振興局, 北海道, 日本"
金子大地,石狩市,838275.0,北海道,POINT (141.3159605 43.171677),"石狩市, 石狩振興局, 北海道, 日本"
篠原涼子,桐生市,819346.0,群馬県,POINT (139.3310209 36.4055296),"桐生市, 群馬県, 日本"
香椎由宇,綾瀬市,817841.0,神奈川県,POINT (139.430823 35.4460475),"綾瀬市, 神奈川県, 日本"
芥川龍之介,岩国市,817434.0,山口県,POINT (132.2191163 34.1664995),"岩国市, 山口県, 日本"
玉置浩二,軽井沢町,817276.0,長野県,POINT (138.5969968 36.3482938),"軽井沢町, 北佐久郡, 長野県, 日本"
仲里依紗,東彼杵町,811608.0,長崎県,POINT (129.9622465 33.0306548),"東彼杵町, 東彼杵郡, 長崎県, 日本"
宮崎駿,遊佐町,808486.0,山形県,POINT (139.9087757 39.0148066),"遊佐町, 飽海郡, 山形県, 日本"
宮崎駿,所沢市,808486.0,埼玉県,POINT (139.4687478 35.7994271),"所沢市, 埼玉県, 日本"
宮崎駿,文京区,808486.0,東京都,POINT (139.744732 35.71881),"文京区, 東京都, 日本"
松本人志,津市,798746.0,三重県,POINT (136.5153283 34.7341973),"津市, 三重県, 日本"
石田彰,日進市,798133.0,愛知県,POINT (137.053708 35.139303),"日進市, 愛知県, 日本"
鈴木達央,関市,797881.0,岐阜県,POINT (136.9181482 35.4958031),"関市, 岐阜県, 日本"
本田翼,三鷹市,793564.0,東京都,POINT (139.572916 35.685227),"三鷹市, 東京都, 日本"
加藤茶,福島市,791874.0,福島県,POINT (140.4745807 37.760777),"福島市, 福島県, 日本"
安田顕,室蘭市,788184.0,北海道,POINT (140.9740731 42.3152461),"室蘭市, 胆振総合振興局, 北海道, 日本"
池田美優,浜松市,782510.0,静岡県,POINT (137.7259431 34.7109786),"浜松市, 静岡県, 日本"
水谷豊,芦別市,781503.0,北海道,POINT (142.1898276 43.518329),"芦別市, 空知総合振興局, 北海道, 日本"
安室奈美恵,那覇市,780770.0,沖縄県,POINT (127.6791452 26.2122345),"那覇市, 沖縄県, 900-8585, 日本"
北川景子,坂出市,778669.0,香川県,POINT (133.8698532 34.3082086),"坂出市, 香川県, 日本"
宮﨑あおい,杉並区,775081.0,東京都,POINT (139.6362876 35.6994929),"杉並区, 東京都, 日本"
御嶽海久司,上松町,773701.0,長野県,POINT (137.7037164 35.7868051),"上松町, 木曽郡, 長野県, 399-5603, 日本"
中山美穂,佐久市,773679.0,長野県,POINT (138.4767695 36.2488014),"佐久市, 長野県, 日本"
中山美穂,小金井市,773679.0,東京都,POINT (139.5106759 35.7041083),"小金井市, 東京都, 日本"
